,타이틀,링크,회사명,태그,설명,태그1,태그2,태그3,태그4,태그5,태그6,태그7
547,PM 채용(SW 프로젝트 관리),/Recruit/GI_Read/42960455?rPageCode=SL&logpath=21,㈜큐버,"['경력10년↑', '대졸↑', '경기성남시외', '정규직', '부장급']","방송솔루션, 솔루션, Synaptics, broadcom, PM, 소프트웨어개발",경력10년↑,대졸↑,경기성남시외,정규직,부장급,,
548,"앱 개발 담당자 모집 (Android어플리케이션, IoT응용개발)",/Recruit/GI_Read/42967952?rPageCode=SL&logpath=21,㈜큐버,"['경력2년↑', '학력무관', '경기성남시외', '정규직']","솔루션, 딥러닝, 인공지능, 데이터분석, 소프트웨어개발",경력2년↑,학력무관,경기성남시외,정규직,,,
549,[신입가능/주4일/식사제공] GS칼텍스 기술지원팀 내근직 사원 채용,/Recruit/GI_Read/42975796?rPageCode=SL&logpath=21,피엔에이링크,"['신입·경력', '학력무관', '서울강남구', '정규직외', '', '225~235만원(월)']","원격상담, A·S수리, 기술지원, 전화상담, 고객지원, 네트워크관리, 기술상담, 유지보수, A·S상담",신입·경력,학력무관,서울강남구,정규직외,,225~235만원(월),
550,KT용산IDC 보안요원(영어 소통 필수) 모집,/Recruit/GI_Read/42973707?rPageCode=SL&logpath=21,케이에스엔시㈜,"['신입·경력', '고졸↑', '서울용산구외', '정규직외', '', '3,612만원이상', '사원급외']","보안, 보안관제, 경비, 정보보안, 보안, 영어",신입·경력,고졸↑,서울용산구외,정규직외,,"3,612만원이상",사원급외
551,[국비무료] IT개발자 취업연계 교육생 모집(JAVA 풀스택 개발자/빅데이터 AI),/Recruit/GI_Read/42968050?rPageCode=SL&logpath=21,더조은아카데미신촌지점,"['경력무관', '학력무관', '서울마포구', '연수생/교육생']","빅데이터, 인터페이스, 딥러닝, ETL, 서버구축, 인공지능, 네트워크관리, 데이터분석, 인터페이스, 펌웨어, 클라우드개발자, IT학원, 서버구축, 서버관리, 네트워크관리, 핀테크, HTTP",경력무관,학력무관,서울마포구,연수생/교육생,,,
552,[SK엠앤서비스소속] 고객센터 전산총무 채용,/Recruit/GI_Read/42966674?rPageCode=SL&logpath=21,에스케이엠앤서비스 주식회사,"['경력1년↑', '학력무관', '서울금천구외', '정규직']","솔루션, 시스템운영, 시스템운영, 방화벽, CRM, 네트워크관리, 네트워크관리, 정보보안, 서버구축, 서버관리, 네트워크관리",경력1년↑,학력무관,서울금천구외,정규직,,,
553,"[Unity]유니티 부트캠프, 전기공사, ICT융합 스마트팩토리제어설계 교육생 모집",/Recruit/GI_Read/42923527?rPageCode=SL&logpath=21,대한상공회의소 충남인력개발원,"['신입·경력', '학력무관', '충남', '연수생/교육생']","건축설계, 메카트로닉스, CG, CI, SCADA, 기구설계, 조선, 증강현실, 회로설계, CAM, 배관·케이블, 제어·설계, 캐드원, UI·UX기획, CG, 엘리베이터, 데이터분석, 로봇, 영상제작, 직업전문학교, 펌웨어, C#, 방송기획, Sign디자인, VJ, ICT융합, 임베디드, 전기·전자, 제안·컨설팅, CG, 영상제작, XR, 3D설계, 방송제작, 내선공사, 2D디자인, 모션그래픽, 토목설계, PCB, 가상현실, 로봇설계, 모바일디자인, 앱기획, 클라이언트, UI·UX기획, 금형설계, 메카트로닉스, 전기설계, 특수효과, 영상제작, 콘텐츠기획, 2D디자인, 모델링, 애니메이션, 전기설비, 제품개발, 플랜트, 통신설비, 게임기획, 스토리보드, MMORPG, 메타버스, 디지털디자인, 원화디자인, 전기배선, GUI, 무인항공기·드론, 로봇설계, SNS마케팅, 제품개발, CAM, 2D설계, 서비스기획, 아바타디자인, 회로설계, PLC, POP, 콘텐츠기획, 삽화·일러스트, 모션그래픽, 생산기술, 철강, 인코딩, 기계조작, 로봇설계, SEO, 금속, 애니메이션, 자동제어, 자동차",신입·경력,학력무관,충남,연수생/교육생,,,
554,[오픈엣지테크놀로지] Web Service DevOps Engineer/IT Admin 채용,/Recruit/GI_Read/42584188?rPageCode=SL&logpath=21,오픈엣지테크놀로지㈜,"['경력5년↑', '초대졸↑', '서울강남구외', '정규직']","시스템운영, 반도체, 시스템운영, 서버구축, 정보보안, 서버구축, SoC, 서버관리",경력5년↑,초대졸↑,서울강남구외,정규직,,,
555,[서울/경기]100프로 무료 취업교육생모집 (UI.UX웹디자인&퍼블리셔/웹개발/게임/빅데이터/영상),/Recruit/GI_Read/42925875?rPageCode=SL&logpath=21,이젠컴퓨터아카데미,"['신입·경력', '고졸↑', '서울관악구외', '연수생/교육생']","2D디자인, 2D온라인게임, 게임소프트웨어, 기업교육, CG, 빅데이터, 데이터관리, 웹표준·웹접근성, 모바일앱게임, 증강현실, CAD, 제어·설계, 데이터레이크, 캐드원, UI·UX기획, 건축설계, 리모델링, CG, GUI, 데이터분석, 영상제작, 음성인식, 삽화·일러스트, 모션그래픽, e러닝, 앱디자인, Unity, 모바일, 아바타디자인, 애니메이션, CAD, Sign디자인, 딥러닝, MAX, 건축설계, 게임디자인, 디자인, 시스템분석, 제안·컨설팅, CG, 모바일디자인, 영상제작, 인공지능, 3D설계, 2D디자인, 3D모델링, 모델링, 모바일App, 모션그래픽, 방화벽, 정보보안, 가상현실, 모바일디자인, 앱기획, 클라이언트, UI·UX기획, 건축CM, 애니메이션, 웹마스터, 특수효과, 자연어처리(NLP), 영상제작, 콘텐츠기획, 모델링, 애니메이션, 증강현실, 게임기획, 디지털디자인, 웹게임, Java게임, 캐드원, 메타버스, 메타버스, 네트워크관리, 원화디자인, 원화디자인, 정보보안, GUI, IT학원, 2D디자인, 시스템설계, 제품개발, CAM, UI·UX기획, 3D디자인, 3D온라인게임, 맥디자인, 서비스기획, 모션그래픽, 퍼블리싱, 가상현실, 기계조작, 데이터파이프라인, 모델링, 모션그래픽, 애니메이션, 웹에이전시, 메타버스",신입·경력,고졸↑,서울관악구외,연수생/교육생,,,
556,[전액무료] IT취업 자바/파이썬/인공지능/빅데이터 교육생 모집,/Recruit/GI_Read/42920900?rPageCode=SL&logpath=21,휴먼교육센터,"['신입·경력', '학력무관', '서울영등포구외', '연수생/교육생']","백엔드, 사물인터넷, 프론트엔드, IT학원, 서버관리, 클라이언트, SI개발, GUI, 반응형웹, 인터페이스, 네트워크관리, 서버구축, 시스템분석, 네트워크관리, 서버구축, 빅데이터, 데이터분석, 분석모델링, 네트워크관리, 보안관제, 정보보안, 핀테크, 시스템분석, 시스템설계, 정보보안, SI개발, 인공지능",신입·경력,학력무관,서울영등포구외,연수생/교육생,,,
