,타이틀,링크,회사명,태그,설명,태그1,태그2,태그3,태그4,태그5,태그6,태그7
2673,분당지역 OA 상주 유지보수 채용,/Recruit/GI_Read/42959378?rPageCode=SL&logpath=21,㈜디지탈씨오에스,"['신입·경력1년↑', '고졸↑', '경기성남시', '정규직', '주임~대리급외']","기술지원, 하드웨어, 컴퓨터, AS, 유지보수, 유지보수",신입·경력1년↑,고졸↑,경기성남시,정규직,주임~대리급외,,
2674,"소프트웨어 개발자 (신입, 경력) 모집",/Recruit/GI_Read/42978289?rPageCode=SL&logpath=21,㈜시스코어,"['신입·경력3년↑', '초대졸↑', '경기용인시외', '정규직', '3,700~8,000만원', '사원급외']","전자회로, GUI, SI개발, 펌웨어, 시스템분석, 전기회로, Firmware, 클라이언트, SI개발, 시스템설계, 인터페이스, HMI, 전자계산, 시스템설계, 서버관리",신입·경력3년↑,초대졸↑,경기용인시외,정규직,"3,700~8,000만원",사원급외,
2675,"하드웨어 개발자 (신입, 경력) 모집",/Recruit/GI_Read/42978183?rPageCode=SL&logpath=21,㈜시스코어,"['신입·경력3년↑', '대졸↑', '경기용인시외', '정규직', '3,700~8,000만원', '사원급외']","전자회로, 회로설계, 임베디드, 펌웨어, 회로설계, 시스템설계, 회로설계, 임베디드, PCB, 전기회로, 펌웨어, Firmware, 시스템분석, 펌웨어, HMI, 전자계산, 자동제어",신입·경력3년↑,대졸↑,경기용인시외,정규직,"3,700~8,000만원",사원급외,
2676,㈜유인어스 프론트엔드 개발자 채용,/Recruit/GI_Read/42976764?rPageCode=SL&logpath=21,㈜유인어스,"['경력2년↑', '학력무관', '서울강남구외', '정규직']","BigData, GUI, 솔루션, 인터페이스, 반응형웹",경력2년↑,학력무관,서울강남구외,정규직,,,
2677,KT OP 운영업무,/Recruit/GI_Read/42976580?rPageCode=SL&logpath=21,㈜에스에스비정보기술,"['경력2년↑', '학력무관', '서울강남구외', '정규직외']","SM, 시스템운영, SI, 시스템운영, ERP, 서버관리",경력2년↑,학력무관,서울강남구외,정규직외,,,
2678,[엘캠퍼스] PHP 개발자(Laravel) 모집,/Recruit/GI_Read/42975968?rPageCode=SL&logpath=21,㈜엘캠퍼스,"['경력3년↑', '초대졸↑', '서울금천구', '정규직']",인터넷교육,경력3년↑,초대졸↑,서울금천구,정규직,,,
2679,"[금융SI] NH농협은행 대출상품 비교서비스 구축 디자이너, 퍼블리셔 채용",/Recruit/GI_Read/42975941?rPageCode=SL&logpath=21,㈜누리어시스템,"['경력6년↑', '초대졸↑', '경기의왕시외', '정규직외', '', '주임~대리급외']","GUI, GUI, 웹표준·웹접근성, GUI, GUI, 모바일디자인, 반응형웹, 웹마스터, 인터페이스, 반응형웹, UI·UX기획, 모바일디자인",경력6년↑,초대졸↑,경기의왕시외,정규직외,,주임~대리급외,
2680,[Softfreak] SE(시스템 엔지니어) 모집,/Recruit/GI_Read/42975904?rPageCode=SL&logpath=21,㈜소프트프릭,"['신입·경력1년↑', '학력무관', '서울강남구', '정규직']","서버구축, 보안소프트웨어",신입·경력1년↑,학력무관,서울강남구,정규직,,,
2681,"JAVA, 파이썬 개발자 모집",/Recruit/GI_Read/42975671?rPageCode=SL&logpath=21,소프트랩스,"['경력1년↑', '고졸↑', '서울금천구', '정규직외', '', '부장급외']",웹에이전시,경력1년↑,고졸↑,서울금천구,정규직외,,부장급외,
2682,(주)아이티존 영업경력 및 개발인력 채용공고,/Recruit/GI_Read/42975621?rPageCode=SL&logpath=21,㈜아이티존,"['신입·경력3년↑', '대졸↑', '서울금천구', '정규직', '3,000만원이상', '주임~대리급외']","고객관리, 솔루션영업, 소프트웨어개발",신입·경력3년↑,대졸↑,서울금천구,정규직,"3,000만원이상",주임~대리급외,
2683,"디지털 사업부 웹 디자이너, 퍼블리셔 모집",/Recruit/GI_Read/42972801?rPageCode=SL&logpath=21,㈜유라이프파이낸셜,"['경력2년↑', '초대졸↑', '서울중구', '정규직', '사원급외']","손해보험, 자동차보험, GUI, 모바일디자인, 생명보험, 화재보험, UI·UX기획",경력2년↑,초대졸↑,서울중구,정규직,사원급외,,
2684,"[경력] 백엔드,프론트엔드 개발자 채용(팀원,팀장급)",/Recruit/GI_Read/42971363?rPageCode=SL&logpath=21,관세법인에이원,"['경력무관', '학력무관', '서울강남구', '정규직', '사원급외']","프론트엔드, 플랫폼",경력무관,학력무관,서울강남구,정규직,사원급외,,
2685,[파인뷰] SW개발 부문 신입/경력 채용,/Recruit/GI_Read/42976333?rPageCode=SL&logpath=21,㈜파인디지털,"['신입·경력1년↑', '대졸↑', '경기성남시외', '정규직']","안드로이드, 아이폰, 모바일, 스마트폰, 모바일App",신입·경력1년↑,대졸↑,경기성남시외,정규직,,,
2686,[종로] JAVA 개발자 모집,/Recruit/GI_Read/42976194?rPageCode=SL&logpath=21,㈜하성씨앤아이,"['경력무관', '학력무관', '서울종로구', '정규직외']","SM, SI",경력무관,학력무관,서울종로구,정규직외,,,
2687,대한항공 SYSTEM 예약부문 운영 (SM),/Recruit/GI_Read/42975424?rPageCode=SL&logpath=21,코운디티(유),"['경력5년↑', '학력무관', '서울강서구', '정규직외']",SM,경력5년↑,학력무관,서울강서구,정규직외,,,
2688,IT 솔루션(OTP 부문) 분야 신입/경력사원 채용,/Recruit/GI_Read/42970619?rPageCode=SL&logpath=21,프리커스㈜,"['신입·경력', '대졸↑', '서울금천구외', '정규직', '3,000만원이상', '사원급외']","보안ASP, 보안소프트웨어, 정보보안",신입·경력,대졸↑,서울금천구외,정규직,"3,000만원이상",사원급외,
2689,[중견기업] (주)아스트 전산시스템(IT) 신입/경력 채용,/Recruit/GI_Read/42970576?rPageCode=SL&logpath=21,㈜아스트,"['경력무관', '초대졸↑', '경남사천시', '정규직', '팀원']","IT담당, 시스템운영, 기간계 시스템, PLM, ERP, 항공, 서버관리, 전산담당, 네트워크관리, 그룹웨어, 인프라",경력무관,초대졸↑,경남사천시,정규직,팀원,,
2690,[(주)아이젝스] 프론트엔드 개발자 경력직 채용 공고,/Recruit/GI_Read/42976784?rPageCode=SL&logpath=21,㈜아이젝스,"['경력1년↑', '초대졸↑', '서울금천구', '정규직', '2,800만원이상']","솔루션, 소프트웨어개발",경력1년↑,초대졸↑,서울금천구,정규직,"2,800만원이상",,
2691,sw 품질테스트 -대기업 커리어 도움,/Recruit/GI_Read/42535226?rPageCode=SL&logpath=2,보보스링크㈜,"['신입·경력', '고졸↑', '경기평택시', '정규직', '2,413만원이상']","테스터, 검증",신입·경력,고졸↑,경기평택시,정규직,"2,413만원이상",,
2692,[나나성형외과] OA/INFRA/네트워크 유지보수 엔지니어 채용,/Recruit/GI_Read/42976195?rPageCode=SL&logpath=21,㈜지투지,"['경력1년↑', '학력무관', '서울강남구', '정규직']","PC, 컴퓨터 관리, 홍보대행, 방화벽, 온라인광고, OA, 광고기획, 네트워크관리, 광고제작, 네트워크관리, 인프라, 광고대행, 컴퓨터",경력1년↑,학력무관,서울강남구,정규직,,,
2693,개발본부 프론트엔드 개발자 (전문연구요원 모집),/Recruit/GI_Read/42972007?rPageCode=SL&logpath=21,㈜유진로봇,"['경력무관', '학력무관', '인천연수구', '병역특례']","전자, 기구설계, 전기기술",경력무관,학력무관,인천연수구,병역특례,,,
2694,"[브아]여성의류 쇼핑몰 웹디자이너 모집 (강동구,송파구/웹디자인,포토샵,일러스트레이터)",/Recruit/GI_Read/42978348?rPageCode=SL&logpath=21,브아(Voir),"['신입·경력', '학력무관', '서울송파구', '정규직', '2,700~3,000만원']","웹표준·웹접근성, GUI, GUI, 모바일디자인, 반응형웹, 웹마스터, 쇼핑몰, 오픈마켓",신입·경력,학력무관,서울송파구,정규직,"2,700~3,000만원",,
2695,[프랭크버거-본사] 각 부문별 경력직 채용,/Recruit/GI_Read/42976589?rPageCode=SL&logpath=21,㈜프랭크에프앤비,"['경력3년↑', '초대졸↑', '경기부천시외', '정규직']","프랜차이즈, 오프라인마케팅, 2D디자인, 기업홍보, 이벤트기획, 프로모션, POP",경력3년↑,초대졸↑,경기부천시외,정규직,,,
2696,IT 솔루션(IAM 부문) 분야 신입/경력사원 채용,/Recruit/GI_Read/42970637?rPageCode=SL&logpath=21,프리커스㈜,"['신입·경력', '대졸↑', '서울금천구외', '정규직', '3,000만원이상', '사원급외']","보안ASP, 보안소프트웨어, 정보보안",신입·경력,대졸↑,서울금천구외,정규직,"3,000만원이상",사원급외,
2697,IT사업부 SW개발자(솔루션/Web/풀스택),/Recruit/GI_Read/42973799?rPageCode=SL&logpath=21,엔셀㈜,"['신입·경력3년↑', '대졸↑', '경기성남시', '정규직']","BigData, SI, 소프트웨어개발",신입·경력3년↑,대졸↑,경기성남시,정규직,,,
2698,(재)한국의학연구소(KMI) 전산개발 정규직 채용(경력&신입),/Recruit/GI_Read/42971990?rPageCode=SL&logpath=21,(재) 한국의학연구소,"['신입·경력', '초대졸↑', '서울중구', '정규직', '3,900만원이상', '사원급외']",검진센터,신입·경력,초대졸↑,서울중구,정규직,"3,900만원이상",사원급외,
2699,프론트엔드 개발자 채용,/Recruit/GI_Read/42978822?rPageCode=SL&logpath=21,㈜럽맘,"['경력무관', '학력무관', '서울강서구', '정규직', '2,800~3,000만원', '팀원']","GUI, 웹표준·웹접근성, GUI, 여성포털, 컨텐츠, 반응형웹, 웹마스터, 인터페이스, 소셜네트워크서비스(SNS), 커뮤니티, 반응형웹, 포털",경력무관,학력무관,서울강서구,정규직,"2,800~3,000만원",팀원,
2700,퍼블리셔 채용,/Recruit/GI_Read/42976371?rPageCode=SL&logpath=21,㈜세명소프트,"['신입·경력', '대졸↑', '서울중구', '정규직']","모바일앱개발, BigData, 솔루션, DataMining, 소프트웨어개발",신입·경력,대졸↑,서울중구,정규직,,,
2701,한살림시스템 IT(ERP시스템 개발 및 운영) 담당 실무자 모집공고,/Recruit/GI_Read/42974257?rPageCode=SL&logpath=21,㈜한살림사업연합,"['신입·경력4년↑', '학력무관', '서울송파구외', '정규직']","시스템분석, 시스템설계, ERP, 소프트웨어개발",신입·경력4년↑,학력무관,서울송파구외,정규직,,,
2702,(주)모멘티 에이전시 백엔드 개발자 채용 [강남구/언주역],/Recruit/GI_Read/42977652?rPageCode=SL&logpath=21,㈜모멘티,"['신입·경력1년↑', '초대졸↑', '서울강남구', '정규직외', '', '3,000~7,000만원', '사원급외']","서버구축, 웹프로덕션, 웹에이전시",신입·경력1년↑,초대졸↑,서울강남구,정규직외,,"3,000~7,000만원",사원급외
2703,[유연근무제] 프론트 React 개발자를 모십니다,/Recruit/GI_Read/42974285?rPageCode=SL&logpath=21,비트루브㈜,"['신입·경력', '초대졸↑', '서울강남구', '정규직외', '', '사원급외']","교수설계, GUI, 컨텐츠개발, e러닝, 인터페이스, 반응형웹, 교재제작",신입·경력,초대졸↑,서울강남구,정규직외,,사원급외,
2704,"[비드넷 씨엔씨] 신입/경력 프로그래머 모집(JAVA,JSP)",/Recruit/GI_Read/42972979?rPageCode=SL&logpath=21,㈜비드넷씨엔씨,"['신입', '초대졸↑', '서울금천구외', '정규직', '사원급']","SI, 소프트웨어개발",신입,초대졸↑,서울금천구외,정규직,사원급,,
2705,[대성학원 그룹] 두각학원 웹개발자 채용(java/jsp),/Recruit/GI_Read/42975748?rPageCode=SL&logpath=21,강대마이맥㈜,"['신입·경력', '초대졸↑', '서울강남구', '정규직']",입시학원,신입·경력,초대졸↑,서울강남구,정규직,,,
2706,[ITS NOAH] 크라우드 워커 모집 (이미지정제),/Recruit/GI_Read/42971779?rPageCode=SL&logpath=21,㈜아이티에스노아,"['경력무관', '학력무관', '서울금천구', '계약직외']","빅데이터, 인공지능",경력무관,학력무관,서울금천구,계약직외,,,
2707,[카카오페이손해보험] DE(Data Engineer) 모집,/Recruit/GI_Read/42969901?rPageCode=SL&logpath=21,㈜카카오페이손해보험,"['경력1년↑', '학력무관', '경기성남시', '정규직']",손해보험,경력1년↑,학력무관,경기성남시,정규직,,,
2708,[긴급][서울역] OO기업 그룹웨어 ITO 개발(java/중급),/Recruit/GI_Read/42969761?rPageCode=SL&logpath=21,이수정보㈜,"['경력6년↑', '초대졸↑', '서울중랑구외', '계약직외']","SM, SI개발, SI, CRM, ERP, 소프트웨어개발",경력6년↑,초대졸↑,서울중랑구외,계약직외,,,
2709,[안성/경기] PC IT 헬프데스크 엔지니어 채용,/Recruit/GI_Read/42969680?rPageCode=SL&logpath=21,ISFnet Korea,"['경력', '초대졸↑', '경기안성시', '정규직', '주임~대리급외']","펌웨어, VoIP, 네트웍구축, 시스템운영, 네트워크관리, 서버구축, 서버관리, 네트워크관리, 고객경험관리",경력,초대졸↑,경기안성시,정규직,주임~대리급외,,
2710,DBA를 모집합니다.,/Recruit/GI_Read/42969630?rPageCode=SL&logpath=21,아이티엠커뮤니케이션㈜,"['경력9년↑', '학력무관', '서울서초구', '계약직외', '', '900~950만원(월)', '과장~차장급외']",ETL,경력9년↑,학력무관,서울서초구,계약직외,,900~950만원(월),과장~차장급외
2711,[증원] 데이터분석팀 병원 지표 관리 ( SQL경력자 3년-6년),/Recruit/GI_Read/42969507?rPageCode=SL&logpath=21,㈜리팅랩스,"['경력3년↑', '고졸↑', '서울강남구', '정규직']","데이터관리, 성형외과, 데이터시각화, 데이터분석, 데이터분석, 전략기획, 연구기획",경력3년↑,고졸↑,서울강남구,정규직,,,
2712,안드로이드 개발 경력직 채용,/Recruit/GI_Read/42969406?rPageCode=SL&logpath=21,㈜에스와이컴퍼니,"['신입·경력3년↑', '학력무관', '광주광산구외', '정규직', '사원급외']","안드로이드, 모바일, 스마트폰, 모바일App",신입·경력3년↑,학력무관,광주광산구외,정규직,사원급외,,
2713,정보보안팀 인력채용 공고 (구로디지털단지/남구로),/Recruit/GI_Read/42969279?rPageCode=SL&logpath=21,㈜오상테크놀로지,"['경력1년↑', '학력무관', '서울구로구', '정규직']","정보보안, 웹에이전시",경력1년↑,학력무관,서울구로구,정규직,,,
2714,카스카디아G.C(골프장) 경영지원(전산.총무)담당자 채용,/Recruit/GI_Read/42968737?rPageCode=SL&logpath=21,유니골프앤리조트,"['경력2년↑', '초대졸↑', '강원홍천군', '정규직', '사원급외']","골프장, 비품관리, 네트워크관리, 자산관리, 문서관리",경력2년↑,초대졸↑,강원홍천군,정규직,사원급외,,
2715,[프로젝트V] DBA 모집,/Recruit/GI_Read/42968679?rPageCode=SL&logpath=21,㈜라이온하트스튜디오,"['경력5년↑', '학력무관', '경기성남시', '정규직', '사원급외']","데이터관리, 모바일앱게임, RPG, 모델링, DB튜닝",경력5년↑,학력무관,경기성남시,정규직,사원급외,,
2716,Architecture 경력직원 모집,/Recruit/GI_Read/42968666?rPageCode=SL&logpath=21,현대HDS㈜,"['경력', '대졸↑', '인천부평구', '정규직']","SM, 솔루션, SI, 소프트웨어개발",경력,대졸↑,인천부평구,정규직,,,
2717,[웨이브릿지] QA 담당자,/Recruit/GI_Read/42888136?rPageCode=SL&logpath=21,웨이브릿지,"['경력3년↑', '학력무관', '서울중구', '정규직']","모바일앱개발, 솔루션, 테스터, 웹마스터, 검증, 소프트웨어개발",경력3년↑,학력무관,서울중구,정규직,,,
2718,2023년 (재)경주스마트미디어센터 직원(연구원) 채용공고,/Recruit/GI_Read/42968353?rPageCode=SL&logpath=21,경주스마트미디어센터,"['신입·경력3년↑', '대졸↑', '경북경주시', '정규직', '2,700만원이상']","공공기관, 방송제작",신입·경력3년↑,대졸↑,경북경주시,정규직,"2,700만원이상",,
2719,[공공 사업팀-세종] 문화체육관광부 업무시스템  java 경력,/Recruit/GI_Read/42968233?rPageCode=SL&logpath=21,세림티에스지㈜,"['경력5년↑', '초대졸↑', '세종전지역', '정규직', '사원급외']","SM, SI",경력5년↑,초대졸↑,세종전지역,정규직,사원급외,,
2720,[LG그룹] IP 현행화 담당 채용 (Linux 경험자),/Recruit/GI_Read/42968135?rPageCode=SL&logpath=21,㈜유호스트,"['경력1년↑', '고졸↑', '서울마포구외', '계약직외', '', '팀원']","펌웨어, 웹호스팅, 서버구축, 시스템운영, PM, 네트웍구축, 시스템분석, 시스템설계, IDC, 통신, CDN",경력1년↑,고졸↑,서울마포구외,계약직외,,팀원,
2721,[경력] 백엔드 개발자 모집 (RUBY 가능자),/Recruit/GI_Read/42967997?rPageCode=SL&logpath=21,㈜초위스컴퍼니,"['경력2년↑', '대졸↑', '경기용인시', '정규직', '4,000~5,000만원', '주임~대리급외']","전자, 서버구축, IOS, 서버관리",경력2년↑,대졸↑,경기용인시,정규직,"4,000~5,000만원",주임~대리급외,
2722,[LG유플러스] NW(네트워크) 보안 강화 프로젝트 담당 채용,/Recruit/GI_Read/42967990?rPageCode=SL&logpath=21,㈜유호스트,"['경력1년↑', '고졸↑', '서울마포구외', '계약직외', '', '팀원']","펌웨어, 웹호스팅, 서버구축, 시스템운영, PM, 네트웍구축, 시스템분석, 시스템설계, IDC, 통신, CDN",경력1년↑,고졸↑,서울마포구외,계약직외,,팀원,
2723,(주)공부선배 청주 R&D팀 프론트앤드 개발 담당 모집,/Recruit/GI_Read/42967982?rPageCode=SL&logpath=21,㈜공부선배,"['경력3년↑', '학력무관', '충북청주시', '정규직', '팀원']","GUI, 인터페이스, 반응형웹",경력3년↑,학력무관,충북청주시,정규직,팀원,,
2724,[주5일/정규직/서버 관리] 서버 어드민 채용 (토스페이먼츠),/Recruit/GI_Read/42967710?rPageCode=SL&logpath=21,㈜유호스트,"['경력3년↑', '학력무관', '경기안양시외', '정규직', '사원급외']","데이터관리, 솔루션, 시스템운영",경력3년↑,학력무관,경기안양시외,정규직,사원급외,,
2725,"[IT헬스케어] 모바일 앱 개발 (Android, iOS)",/Recruit/GI_Read/42967687?rPageCode=SL&logpath=21,㈜세나클소프트,"['경력2년↑', '학력무관', '서울강남구', '정규직']","Android, IOS, 소프트웨어개발",경력2년↑,학력무관,서울강남구,정규직,,,
2726,[IT헬스케어] Windows Client(C# WPF) 개발,/Recruit/GI_Read/42967616?rPageCode=SL&logpath=21,㈜세나클소프트,"['경력3년↑', '학력무관', '서울강남구', '정규직']",소프트웨어개발,경력3년↑,학력무관,서울강남구,정규직,,,
2727,경민대학교 재정지원사업단 계약직 직원 채용 공고,/Recruit/GI_Read/42967442?rPageCode=SL&logpath=21,경민대학교,"['경력무관', '초대졸↑', '경기의정부시', '계약직', '사원급외']","대학교, 시스템분석, 대학교, 시스템설계, 상담",경력무관,초대졸↑,경기의정부시,계약직,사원급외,,
2728,[정규직/주5일] LG유플러스 서버 어드민 경력직 채용,/Recruit/GI_Read/42967350?rPageCode=SL&logpath=21,㈜유호스트,"['경력', '고졸↑', '서울마포구외', '정규직', '팀원']","웹호스팅, 서버구축, 시스템운영, PM, 네트웍구축, 시스템분석, 네트워크관리, 시스템설계, IDC, 통신, CDN, 서버관리, 클라우드",경력,고졸↑,서울마포구외,정규직,팀원,,
2729,[리치에일리언] 게임 클라이언트 개발자 모집(Junior),/Recruit/GI_Read/42967343?rPageCode=SL&logpath=21,리치에일리언㈜,"['경력2년↑', '학력무관', '서울강남구', '정규직']","모바일앱게임, 클라이언트, 캐주얼게임, 게임개발",경력2년↑,학력무관,서울강남구,정규직,,,
2730,정보보안 담당 경력사원 채용,/Recruit/GI_Read/42967224?rPageCode=SL&logpath=21,㈜이엔에프테크놀로지,"['경력8년↑', '대졸↑', '경기용인시', '정규직', '4,050만원이상', '과장~차장급']","방화벽, 보안관제, 네트워크관리, 정보보안",경력8년↑,대졸↑,경기용인시,정규직,"4,050만원이상",과장~차장급,
2731,[셀트리온헬스케어/ IT지원 / 인프라관리] 셀트리온헬스케어 IT팀 HelpDesk 채용,/Recruit/GI_Read/42773431?rPageCode=SL&logpath=2,티오에스코리아,"['경력무관', '학력무관', '인천연수구외', '계약직외', '', '3,060만원이상']","바이오, 서버구축, 제약, 정보보안, 의약, 서버관리, 네트워크관리, 인프라",경력무관,학력무관,인천연수구외,계약직외,,"3,060만원이상",
2732,[정규직] 네트워크 엔지니어 경력 채용,/Recruit/GI_Read/42766979?rPageCode=SL&logpath=2,유어파트너스,"['경력2년↑', '학력무관', '서울강남구', '정규직', '5,000만원이상', '과장~차장급외']","방화벽, 네트워크, 인프라, 유지보수",경력2년↑,학력무관,서울강남구,정규직,"5,000만원이상",과장~차장급외,
2733,[외국계 기업] IT Field Engineer Sub Leader급 경력자 모집,/Recruit/GI_Read/42762284?rPageCode=SL&logpath=2,㈜엠아이티마스,"['경력4년↑', '초대졸↑', '서울송파구외', '정규직', '2,700만원이상', '사원급외']","네트워크관리, 컴퓨터, AS, 유지보수",경력4년↑,초대졸↑,서울송파구외,정규직,"2,700만원이상",사원급외,
2734,[역삼] 온라인 게임 QA테스터 (10월 입사),/Recruit/GI_Read/42762082?rPageCode=SL&logpath=2,㈜아데코코리아,"['경력무관', '학력무관', '서울강남구', '파견직', '236만원이상(월)', '사원급외']","게임마케팅, 모바일앱게임, 스포츠, 테스터, QA, 게임기획, 축구, 게임기획, 스토리보드, 게임개발, 게임QA, 3D온라인게임, 서비스기획, 검증",경력무관,학력무관,서울강남구,파견직,236만원이상(월),사원급외,
2735,"울산, 기흥, 서울 ABAP 개발ㆍ컨설 모집",/Recruit/GI_Read/42751280?rPageCode=SL&logpath=2,㈜펜타크리드,"['경력6년↑', '대졸↑', '서울강남구외', '계약직외', '', '본부장/센터장외']","ERP, SAP, ABAP, 소프트웨어개발",경력6년↑,대졸↑,서울강남구외,계약직외,,본부장/센터장외,
2736,골프용 모바일 하이브리드 서비스 PG개발 및 운영 경력자 구인,/Recruit/GI_Read/42749021?rPageCode=SL&logpath=2,㈜그린재킷,"['경력무관', '대졸↑', '서울강남구외', '정규직', '5,000만원이상', '주임~대리급외']","모바일앱개발, ERP, 소프트웨어개발",경력무관,대졸↑,서울강남구외,정규직,"5,000만원이상",주임~대리급외,
2737,골프용 모바일 하이브리드 서비스 앱 개발 경력자 구인,/Recruit/GI_Read/42748978?rPageCode=SL&logpath=2,㈜그린재킷,"['경력3년↑', '대졸↑', '서울강남구외', '정규직', '5,000만원이상', '주임~대리급외']","모바일앱개발, ERP, 소프트웨어개발",경력3년↑,대졸↑,서울강남구외,정규직,"5,000만원이상",주임~대리급외,
2738,골프용 모바일 하이브리드 서비스 웹 개발 경력자 구인,/Recruit/GI_Read/42748890?rPageCode=SL&logpath=2,㈜그린재킷,"['경력3년↑', '대졸↑', '서울강남구외', '정규직', '5,000만원이상', '주임~대리급외']","모바일앱개발, ERP, 소프트웨어개발",경력3년↑,대졸↑,서울강남구외,정규직,"5,000만원이상",주임~대리급외,
2739,"[현대커머셜/Operation팀] 온라인 대출 프로세스 운영/개발, 이자 정산 업무",/Recruit/GI_Read/42751964?rPageCode=SL&logpath=2,㈜마루에이치알,"['경력무관', '고졸↑', '서울영등포구외', '계약직', '3,122~3,600만원']","전산입력, 대출심사, 서치펌, 헤드헌팅, 행정, 사이트관리, 문서작성, 채권, 서무, 투자심사, 보상, 손해평가",경력무관,고졸↑,서울영등포구외,계약직,"3,122~3,600만원",,
2740,라미랩(주) - 공간정보 웹개발 경력자 채용,/Recruit/GI_Read/42747912?rPageCode=SL&logpath=2,㈔대덕이노폴리스벤처협회,"['경력3년↑', '초대졸↑', '대전유성구외', '정규직']","솔루션, 소프트웨어개발",경력3년↑,초대졸↑,대전유성구외,정규직,,,
2741,디지털 치료제 콘텐츠 기획자 채용,/Recruit/GI_Read/42966955?rPageCode=SL&logpath=21,㈜플레이투큐어,"['경력3년↑', '학력무관', '경기성남시', '정규직']","PM, 클라이언트, 의료기기",경력3년↑,학력무관,경기성남시,정규직,,,
2742,[테크빌교육] 에듀테크관련 서비스 웹기획자 채용,/Recruit/GI_Read/42966580?rPageCode=SL&logpath=21,테크빌교육㈜,"['경력무관', '학력무관', '서울강남구', '정규직', '사원급외']","데이터분석, PL, 시스템운영, PM, 인터넷교육, SaaS, 시스템분석, 컨텐츠, UI·UX기획, 콘텐츠기획, 시스템설계, 스토리보드, 커뮤니티, PO, 서비스기획, 포털",경력무관,학력무관,서울강남구,정규직,사원급외,,
2743,[충정로역] 부동산써브 통합 플랫폼 MSA 서버 안정화 TA 구인,/Recruit/GI_Read/42966395?rPageCode=SL&logpath=21,캐빈시스템,"['경력6년↑', '학력무관', '서울서대문구', '계약직외', '', '과장~차장급외']","모바일앱개발, SM, 솔루션, 서버구축, SI, 네트워크관리, 시스템설계, 서버구축, 서버관리, 네트워크관리, 소프트웨어개발",경력6년↑,학력무관,서울서대문구,계약직외,,과장~차장급외,
2744,"(SI) KB라이프  통합 콜센터 상담시스템 구축 개발(즉시,3개월 이후 연장, 강남)",/Recruit/GI_Read/42966327?rPageCode=SL&logpath=21,휴먼인포텍,"['경력6년↑', '학력무관', '서울강남구외', '정규직외']","SM, SI, 소프트웨어개발",경력6년↑,학력무관,서울강남구외,정규직외,,,
2745,23년도 프로그래밍 교육 연구원(인턴) 채용,/Recruit/GI_Read/42965765?rPageCode=SL&logpath=21,㈜나우코딩,"['경력무관', '대졸↑', '서울중구', '인턴', '210만원이상(월)']","빅데이터, 인공지능, 인터넷교육, 컨텐츠, 소셜네트워크서비스(SNS), 커뮤니티, 포털",경력무관,대졸↑,서울중구,인턴,210만원이상(월),,
2746,"Java, Kotlin, Javascript(즉시/6개월/서울역/중급) 프로그래머를 모십니다.",/Recruit/GI_Read/42965591?rPageCode=SL&logpath=21,㈜HYSOFT,"['경력6년↑', '초대졸↑', '서울구로구외', '계약직외']","DW, JavaScript, jquery, Websquare, SI, vue.js, Kotlin, xPlatform, jsp, IOS, Miplatfrom, 안드로이드, nexacro, Java, Rest API, SPRING, springboot",경력6년↑,초대졸↑,서울구로구외,계약직외,,,
2747,C++ Adaptive Application 개발자,/Recruit/GI_Read/42965375?rPageCode=SL&logpath=21,㈜팝콘사,"['신입', '학력무관', '서울강남구', '정규직', '3,240만원이상']","솔루션, 시스템분석, 아키텍처, 시스템설계, 소프트웨어개발",신입,학력무관,서울강남구,정규직,"3,240만원이상",,
2748,"[신입] 네트워크 엔지니어 채용 / IDC , Enterprise",/Recruit/GI_Read/42965293?rPageCode=SL&logpath=21,㈜아이메코,"['신입', '학력무관', '서울강서구외', '계약직']","솔루션, 소프트웨어개발",신입,학력무관,서울강서구외,계약직,,,
2749,[직방] Smarthome WebRTC Engineer,/Recruit/GI_Read/42965051?rPageCode=SL&logpath=21,㈜직방,"['경력무관', '초대졸↑', '서울강남구외', '정규직']","GUI, 인터페이스, SI개발, 모바일, webrtc, 모바일App, 인터페이스, 반응형웹, 음성인식, 클라이언트, HTTP",경력무관,초대졸↑,서울강남구외,정규직,,,
2750,카카오 T 택시 Android 개발자,/Recruit/GI_Read/42964727?rPageCode=SL&logpath=21,카카오모빌리티,"['경력3년↑', '학력무관', '경기성남시', '정규직']","모바일App, Android 개발자",경력3년↑,학력무관,경기성남시,정규직,,,
2751,s/w (소프트웨어) 개발자 모집,/Recruit/GI_Read/42964645?rPageCode=SL&logpath=21,㈜요즈마 비엠텍,"['경력5년↑', '대졸↑', '경기성남시', '정규직']",의료기기,경력5년↑,대졸↑,경기성남시,정규직,,,
2752,[서울] F/W 및 알고리즘 개발자 모집(연구소),/Recruit/GI_Read/42964441?rPageCode=SL&logpath=21,㈜이지템,"['신입·경력5년↑', '대졸↑', '서울금천구', '정규직', '주임~대리급외']","펌웨어, 의료기기",신입·경력5년↑,대졸↑,서울금천구,정규직,주임~대리급외,,
2753,새로운교회 온라인 간사 (팀장급) 를 모십니다,/Recruit/GI_Read/42963486?rPageCode=SL&logpath=21,새로운교회,"['경력', '학력무관', '서울서초구', '정규직', '팀장/매니저/실장']","종교단체, 웹마스터",경력,학력무관,서울서초구,정규직,팀장/매니저/실장,,
