링크,회사명,법인명,채용내용,태그,뱃지,근무지,모집구분,학력조건
/zf_user/jobs/relay/view?view_type=list&rec_idx=46590657,하이투자증권(주),DGB금융지주그룹,하이투자증권 각 부문별 경력사원 채용,['기술지원데이터분석가데이터엔지니어정보보안IT컨설팅 외'],IT개발·데이터 스크랩 급상승,서울 영등포구,경력 · 계약직,학력무관
/zf_user/jobs/relay/view?view_type=list&rec_idx=46617615,화천기계(주),화천그룹,2023년 각 부분별 신입/경력 채용,"['인프라ERPS', 'WC#C++ 외']",인기있는,서울 서초구 외,경력무관 · 정규직,학력무관
/zf_user/jobs/relay/view?view_type=list&rec_idx=46637493,(주)엔엑스쓰리게임즈,None,[Project D][기획] 기획 전반 담당,['Unity게임기획기술기획기획'],None,서울 강남구,신입 · 경력 · 정규직,학력무관
/zf_user/jobs/relay/view?view_type=list&rec_idx=46637463,(주)엔엑스쓰리게임즈,None,[Project L][클라이언트 프로그래머] 컨텐츠/시스템 (주니어),['SDKC#Unity'],None,서울 강남구,신입 · 경력 · 정규직,학력무관
/zf_user/jobs/relay/view?view_type=list&rec_idx=46638307,(주)엠에이치엔씨티,None,AI 연구원,['데이터분석가딥러닝머신러닝블록체인빅데이터 외'],취업축하금,서울 성동구 외,신입 · 경력 · 정규직,대학교(4년)↑
/zf_user/jobs/relay/view?view_type=list&rec_idx=46639785,디앤에스에버(주),None,Backend 개발자 채용,"['백엔드', '서버개발웹개발프론트엔드DBASE(시스템엔지니어) 외']",취업축하금,서울 강남구 외,3 ~ 10년 · 정규직,학력무관
/zf_user/jobs/relay/view?view_type=list&rec_idx=46635748,제이비(주),제이비그룹,2023하반기 JB주식회사(구 중부도시가스) 신입/경력사원 채용,['데이터분석가데이터엔지니어유지보수정보보안DBA 외'],인기있는,충남 아산시 외,신입 · 경력 · 정규직,학력무관
/zf_user/jobs/relay/view?view_type=list&rec_idx=46636413,하이퍼커넥트유한책임회사,None,IT Helpdesk Specialist,['WindowsAndroidMacOS네트워크'],None,서울 강남구,경력무관 · 계약직,학력무관
/zf_user/jobs/relay/view?view_type=list&rec_idx=46609903&adsCategoryItem=effect_bold&,지엠비코리아(주),지엠비코리아그룹,2023년 지엠비코리아 Web 개발 부문 경력사원 채용,"['기술지원백엔드', '서버개발웹개발유지보수프론트엔드 외']",인기있는,경남 창원시 외,경력 5년↑ · 정규직,대학교(4년)↑
/zf_user/jobs/relay/view?view_type=list&rec_idx=46615005&adsCategoryItem=effect_bold&,(주)한맥기술,장헌산업그룹,"총괄기획실&기술개발센터 개발,엔지니어,기획,디자이너 인재채용",['웹개발퍼블리셔프론트엔드모델링알고리즘 외'],IT개발·데이터 지원 급상승,서울 송파구,신입 · 경력 · 정규직 외,고졸↑
/zf_user/jobs/relay/view?view_type=list&rec_idx=46627816&adsCategoryItem=effect_bold&,(주)위존,None,2023년 하반기 신입/경력직 공개채용,"['기술지원데이터엔지니어백엔드', '서버개발프론트엔드SE(시스템엔지니어) 외']",IT개발·데이터 지원 TOP100,서울 송파구 외,신입 · 경력 · 정규직,학력무관
/zf_user/jobs/relay/view?view_type=list&rec_idx=46606620&adsCategoryItem=effect_bold&,(주)플렉스시스템,None,[플렉스시스템] 하반기 신입/경력 채용,"['데이터분석가데이터엔지니어유지보수펌웨어H', 'W 외']",인기있는,경기 안양시 동안구 외,신입 · 경력 · 정규직,고졸↑
/zf_user/jobs/relay/view?view_type=list&rec_idx=46621359,(주)에스이에스,None,삼성엔지니어링 비서 업무 채용[통근운행],['SAP경리사무원계산서발행전표입력ERP 외'],100명 이상,서울 강동구,경력무관 · 계약직 외,학력무관
/zf_user/jobs/relay/view?view_type=list&rec_idx=46635712,넷마블에프앤씨(주),넷마블그룹,그랜드크로스 : 에이지 오브 타이탄 (전략) QA 모집,"['게임개발QA', '테스터문서작성']",None,서울 구로구,경력 1년↑ · 정규직,학력무관
/zf_user/jobs/relay/view?view_type=list&rec_idx=46638711,씨제이올리브네트웍스(주),None,제일제당 SAP CO 운영/개발자,"['SE(시스템엔지니어)인프라DevOpsERPS', 'W 외']",취업축하금,서울전체 외,3 ~ 15년 · 정규직,학력무관
/zf_user/jobs/relay/view?view_type=list&rec_idx=46589634,중앙그룹,중앙그룹,2023 중앙그룹 신입사원 모집,"['백엔드', '서버개발앱개발웹개발웹마스터유지보수 외']",미디어·문화·스포츠 지원 TOP100,서울 마포구 외,신입 · 정규직,대학교(4년)↑
/zf_user/jobs/relay/view?view_type=list&rec_idx=46614903,(주)팬마음,None,[팬마음] QA 담당 채용 건,"['QA', '테스터API']",중소기업 인기 TOP100,서울 강남구,2 ~ 4년 · 정규직,학력무관
/zf_user/jobs/relay/view?view_type=list&rec_idx=46635677,(주)엔엑스쓰리게임즈,None,[Project S][기획] 시스템 및 컨텐츠 기획,['Unity콘텐츠기획게임기획기술기획기획'],None,서울 강남구,경력무관 · 정규직,학력무관
/zf_user/jobs/relay/view?view_type=list&rec_idx=46636438&adsCategoryItem=effect_bold&,주식회사 하이엔드코리아,None,[LG이노텍 구미/파주]대기업계약직/스마트폰부품/기숙사/통근차,['임베디드기계조작원단순생산직생산관리외관검사원 외'],인기있는,경북 구미시 외,경력무관 · 계약직,학력무관
/zf_user/jobs/relay/view?view_type=list&rec_idx=46635863,슈어소프트테크(주),슈어소프트테크그룹,임베디드SW개발_전장SW개발실/대전,['딥러닝머신러닝빅데이터펌웨어MCU 외'],취업축하금,대전전체 외,3 ~ 7년 · 정규직,"대학(2,3년)↑"
/zf_user/jobs/relay/view?view_type=list&rec_idx=46636395,하이퍼커넥트유한책임회사,None,FP&A Manager,['빅데이터재무기획ERP재무'],None,서울 강남구,경력 5년↑ · 정규직,학력무관
/zf_user/jobs/relay/view?view_type=list&rec_idx=46638044,(주)디버,None,[디버] 백엔드 개발자 (파트장 ~ 팀장),"['백엔드', '서버개발웹개발프론트엔드DBASE(시스템엔지니어) 외']",취업축하금,서울 강남구 외,5 ~ 9년 · 정규직,학력무관
