,년,월,제목,부제목,링크,작가,출판사,출판일,가격,리뷰,리뷰링크,별점,태그,book_id
51,2023,8,따라 하면 무조건 돈 버는 부동산 1인 법인 투자의 기술,"절세, 명의 분산부터 대출과 금융 전략까지",https://www.yes24.com//Product/Goods/119809518,['유근용'],비즈니스북스,2023년 07월,"20,700원",24,https://www.yes24.com/Product/Goods/119809518?ReviewYn=Y,9.8,[],119809518
52,2023,8,2023 박문각 공인중개사 김덕수의 민법 모아모아 한방,,https://www.yes24.com//Product/Goods/119328524,['김덕수'],박문각,2023년 06월,"6,300원",5,https://www.yes24.com/Product/Goods/119328524?ReviewYn=Y,9.8,['#분철'],119328524
53,2023,8,미래엔 중학교 국어 2-2 자습서+평가문제집 (전2권),,https://www.yes24.com//Product/Goods/119275849,None,미래엔,2019년 05월,"32,400원",1,https://www.yes24.com/Product/Goods/119275849?ReviewYn=Y,10.0,[],119275849
54,2023,8,고전의 숲,아주 오래된 서가에서 찾아낸 58가지 지혜의 씨앗,https://www.yes24.com//Product/Goods/119243875,['김태완'],포레스트북스,2023년 06월,"15,750원",35,https://www.yes24.com/Product/Goods/119243875?ReviewYn=Y,9.8,"['#사고력', '#생각수업', '#재미있는철학']",119243875
55,2023,8,지적 대화를 위한 넓고 얕은 지식 제로,지혜를 찾아 138억 년을 달리는 시간 여행서,https://www.yes24.com//Product/Goods/84659792,['채사장'],웨일북,2019년 12월,"17,820원",166,https://www.yes24.com/Product/Goods/84659792?ReviewYn=Y,9.6,"['#이달의굿즈', '#크레마클럽에있어요', '#북클러버의선택', '#어디쓰는지식인고', '#교양을쌓을교양']",84659792
56,2023,8,원피스 ONE PIECE 105 ,루피의 꿈,https://www.yes24.com//Product/Goods/118997130,['오다 에이이치로'],대원,2023년 05월,"4,950원",46,https://www.yes24.com/Product/Goods/118997130?ReviewYn=Y,9.6,['#너내동료가돼라'],118997130
57,2023,8,만화 화산귀환 4,,https://www.yes24.com//Product/Goods/122090304,['비가'],에이템포미디어,2023년 08월,"14,400원",7,https://www.yes24.com/Product/Goods/122090304?ReviewYn=Y,10.0,[],122090304
58,2023,8,정의란 무엇인가,,https://www.yes24.com//Product/Goods/15156691,['마이클 샌델'],와이즈베리,2014년 11월,"13,500원",184,https://www.yes24.com/Product/Goods/15156691?ReviewYn=Y,9.3,"['#인문위클리레터에소개된책', '#스테디에는이유가있다', '#EBS위대한수업', '#2021서울대지원자가많이읽은책', '#안사면0원사면영원']",15156691
59,2023,8,공정하다는 착각,능력주의는 모두에게 같은 기회를 제공하는가,https://www.yes24.com//Product/Goods/94489333,['마이클 샌델'],와이즈베리,2020년 12월,"16,200원",238,https://www.yes24.com/Product/Goods/94489333?ReviewYn=Y,9.1,"['#청년의날추천도서', '#인문위클리레터에소개된책', '#올해의책', '#오상진북스타그램', '#EBS위대한수업']",94489333
60,2023,8,풍수전쟁,,https://www.yes24.com//Product/Goods/118966491,['김진명'],이타북스,2023년 05월,"15,120원",67,https://www.yes24.com/Product/Goods/118966491?ReviewYn=Y,9.3,"['#이달의굿즈', '#인구문제', '#문학으로보는역사', '#압도적서스펜스', '#오랜만이에요작가님']",118966491
61,2023,8,집착의 법칙,마약중독자를 8000억 자산가로 만든 단 하나의 마인드셋,https://www.yes24.com//Product/Goods/121823289,['그랜트 카돈'],부키,2023년 08월,"16,650원",16,https://www.yes24.com/Product/Goods/121823289?ReviewYn=Y,9.8,"['#마약', '#이달의굿즈']",121823289
62,2023,8,일본어 무작정 따라하기 완전판,듣기만 해도 말이 나온다,https://www.yes24.com//Product/Goods/111140141,['후지이 아사리'],길벗이지톡,2022년 08월,"23,400원",22,https://www.yes24.com/Product/Goods/111140141?ReviewYn=Y,9.7,['#분철'],111140141
63,2023,8,파이브 스타 스토리 The Five Star Stories 17 ,,https://www.yes24.com//Product/Goods/120815246,['나가노 마모루'],서울미디어코믹스(서울문화사),2023년 07월,"10,800원",6,https://www.yes24.com/Product/Goods/120815246?ReviewYn=Y,8.8,[],120815246
64,2023,8,무조건 팔리는 심리 마케팅 기술 100,단번에 매출을 200% 올리는 설득의 심리학,https://www.yes24.com//Product/Goods/118485416,['사카이 도시오'],동양북스(동양books),2023년 04월,"16,020원",38,https://www.yes24.com/Product/Goods/118485416?ReviewYn=Y,9.6,[],118485416
65,2023,8,호랭면 ,,https://www.yes24.com//Product/Goods/120466973,['김지안'],미디어창비,2023년 07월,"14,220원",163,https://www.yes24.com/Product/Goods/120466973?ReviewYn=Y,10.0,"['#전래동화', '#평양냉면', '#호랑이동화']",120466973
66,2023,8,나는 오래된 거리처럼 너를 사랑하고,,https://www.yes24.com//Product/Goods/112220926,['진은영'],문학과지성사,2022년 08월,"10,800원",46,https://www.yes24.com/Product/Goods/112220926?ReviewYn=Y,9.6,"['#YES24XEBS_대국민독서챌린지', '#가을에어울리는책', '#문학뉴스레터에소개된책', '#선물하기좋은시집', '#오랜만이에요작가님']",112220926
67,2023,8,똑게육아,영유아 수면교육,https://www.yes24.com//Product/Goods/107513921,['로리(김준희)'],북로스트,2022년 02월,"19,980원",58,https://www.yes24.com/Product/Goods/107513921?ReviewYn=Y,9.8,"['#아이재우기', '#수면건강', '#육아노하우']",107513921
68,2023,8,수험생을 위한 100일 기도,,https://www.yes24.com//Product/Goods/3592030,['김종국'],생활성서사,2008년 05월,"14,400원",4,https://www.yes24.com/Product/Goods/3592030?ReviewYn=Y,10.0,[],3592030
69,2023,8,일만 번의 다이빙,,https://www.yes24.com//Product/Goods/120466933,['이송현'],다산책방,2023년 07월,"12,150원",51,https://www.yes24.com/Product/Goods/120466933?ReviewYn=Y,9.9,"['#독서지도안', '#성장소설', '#책으로읽는스포츠', '#여름방학', '#청소년장편소설']",120466933
70,2023,8,나는 장사의 신이다,일단 돈을 진짜 많이 벌어봐라  세상이 달라진다!,https://www.yes24.com//Product/Goods/105408661,['은현장'],떠오름,2021년 12월,"15,120원",82,https://www.yes24.com/Product/Goods/105408661?ReviewYn=Y,9.6,"['#창업', '#1인창업', '#창업할때읽으면좋은책']",105408661
71,2023,8,몰입 합본판 (100쇄 기념 합본 에디션),,https://www.yes24.com//Product/Goods/91304616,['황농문'],알에이치코리아(RHK),2020년 07월,"28,800원",30,https://www.yes24.com/Product/Goods/91304616?ReviewYn=Y,9.8,"['#크레마클럽에있어요', '#합본판']",91304616
72,2023,8,작은 땅의 야수들 (리커버 특별판),,https://www.yes24.com//Product/Goods/119149162,['김주혜'],다산책방,2023년 06월,"16,200원",30,https://www.yes24.com/Product/Goods/119149162?ReviewYn=Y,9.9,"['#크레마클럽에있어요', '#한국계작가', '#가장세계적인한국작품', '#표지예쁜책', '#2023서울국제도서전']",119149162
73,2023,8,스즈메의 문단속,,https://www.yes24.com//Product/Goods/116887399,['신카이 마코토'],대원씨아이(단행)(대원키즈),2023년 01월,"11,700원",62,https://www.yes24.com/Product/Goods/116887399?ReviewYn=Y,9.5,"['#봄날엔로맨스', '#연애세포부활', '#아기다리고기다리던책']",116887399
74,2023,8,우리 대화는 밤새도록 끝이 없지,두 젊은 창작가의 삶과 예술적 영감에 관하여,https://www.yes24.com//Product/Goods/121911890,['허휘수'],상상출판,2023년 08월,"15,300원",20,https://www.yes24.com/Product/Goods/121911890?ReviewYn=Y,9.8,"['#문학뉴스레터에소개된책', '#이달의굿즈', '#일상을예술처럼', '#유튜버의책']",121911890
75,2023,8,멘탈을 바꿔야 인생이 바뀐다,,https://www.yes24.com//Product/Goods/108950154,['박세니'],마인드셋(Mindset),2022년 04월,"15,120원",77,https://www.yes24.com/Product/Goods/108950154?ReviewYn=Y,9.0,"['#생각하는힘', '#멘탈챙겨', '#멘탈회복']",108950154
76,2023,8,2023 이기적 컴퓨터활용능력 2급 필기 기본서,,https://www.yes24.com//Product/Goods/111102308,['홍태성'],영진닷컴,2022년 07월,"18,900원",15,https://www.yes24.com/Product/Goods/111102308?ReviewYn=Y,10.0,['#분철'],111102308
